system   D            wsystem.c:583  maybe_parent_dir                 [   0.00135] Also searching C:\Users\Raymund\Documents\Game Stuff\2D Game Practice\Allegro Practice\
display  D   display_settings.c:506  _al_score_display_settings       [   0.33368] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.33370] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33372] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.33373] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33375] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.33377] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33379] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.33381] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33383] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.33384] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33386] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.33388] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33390] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.33392] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33394] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33396] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33398] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33400] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33402] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.33403] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33405] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.33407] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33409] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.33411] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33413] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.33414] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33416] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.33418] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33420] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.33422] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33424] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.33425] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33427] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33429] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33431] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33433] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33435] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.33436] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33438] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.33440] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33442] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.33443] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33446] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.33447] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33449] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.33451] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33453] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.33455] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33457] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.33458] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33461] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33462] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33464] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33466] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33468] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.33476] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33479] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.33480] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33482] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.33484] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33486] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.33488] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33490] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.33491] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33493] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.33495] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33497] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.33499] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33501] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33502] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33504] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33506] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33508] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.33510] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33512] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.33513] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33516] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.33521] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33523] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.33525] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33527] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.33528] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33531] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.33532] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33534] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.33536] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33538] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33539] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.33542] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.33543] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33545] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.33547] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33549] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.33551] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33553] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.33555] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33557] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.33559] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33561] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.33562] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33564] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.33566] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.33568] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.33570] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33572] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33573] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33576] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33577] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33579] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33581] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33584] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33586] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33588] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33589] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33591] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33595] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33597] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33599] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33601] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33603] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33605] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33606] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33609] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33610] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33612] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33614] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33616] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33618] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33620] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33621] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33623] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33625] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33627] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33629] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33631] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33633] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33635] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33636] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33639] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33640] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33643] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33644] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33646] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33648] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33650] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33652] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33654] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33656] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33658] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33659] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33661] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33663] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33665] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33667] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33669] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33670] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33673] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33674] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33676] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33678] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33680] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33682] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33684] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33685] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33687] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33689] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33691] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33693] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33695] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33697] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33699] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33701] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33703] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33705] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33707] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33708] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33710] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33712] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33714] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33716] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33718] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33719] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33721] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33723] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33725] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33727] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33729] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33731] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33733] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33734] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33736] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33738] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33740] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33742] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33744] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33745] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.33747] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33749] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33751] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33756] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33759] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.33760] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.33762] Single Buffer requirement not met.
